001 本書說明_
002 序_
003 第一回　　史南湘制譜選名　花梅子玉聞香驚絕豔1
004 第一回　　史南湘制譜選名　花梅子玉聞香驚絕豔2
005 第二回　　魏聘才途中誇遇美　王桂保席上亂飛花1
006 第二回　　魏聘才途中誇遇美　王桂保席上亂飛花2
007 第三回　　賣煙壺老王索詐　砸菜碗小旦撒嬌1
008 第三回　　賣煙壺老王索詐　砸菜碗小旦撒嬌2
009 第四回　　三名士雪窗分詠　一少年粉壁題詞1
010 第四回　　三名士雪窗分詠　一少年粉壁題詞2
011 第五回　　袁寶珠引進杜琴言　富三爺細述華公子1
012 第五回　　袁寶珠引進杜琴言　富三爺細述華公子2
013 第六回　　顏夫人快訂良姻　梅公子初觀色界1
014 第六回　　顏夫人快訂良姻　梅公子初觀色界2
015 第七回　　顏仲清最工一字對　史南湘獨出五言詩1
016 第七回　　顏仲清最工一字對　史南湘獨出五言詩2
017 第八回　　偷復偷戲園失銀兩　樂中樂酒館鬧皮杯1
018 第八回　　偷復偷戲園失銀兩　樂中樂酒館鬧皮杯2
019 第九回　　月夕燈宵萬花齊放　珠情琴思一面緣慳1
020 第九回　　月夕燈宵萬花齊放　珠情琴思一面緣慳2
021 第十回　　春夢婆娑情長情短　花枝約略疑假疑真1
022 第十回　　春夢婆娑情長情短　花枝約略疑假疑真2
023 第十一回　　三佳人妙語翻新　交婢女戲言受責1
024 第十一回　　三佳人妙語翻新　交婢女戲言受責2
025 第十二回　　顏仲清婆心俠氣　田春航傲骨癡情1
026 第十二回　　顏仲清婆心俠氣　田春航傲骨癡情2
027 第十三回　　兩心巧印巨眼深情　一味歪纏淫魔色鬼1
028 第十三回　　兩心巧印巨眼深情　一味歪纏淫魔色鬼2
029 第十四回　　古誦七言琴聲復奏　字搜四子酒令新翻1
030 第十四回　　古誦七言琴聲復奏　字搜四子酒令新翻2
031 第十五回　　老學士奉命出差　佳公子閒情訪素1
032 第十五回　　老學士奉命出差　佳公子閒情訪素2
033 第十六回　　魏聘才初進華公府　梅子玉再訪杜琴言1
034 第十六回　　魏聘才初進華公府　梅子玉再訪杜琴言2
035 第十七回　　祝芳年瓊筵集詞客　評花譜國色冠群香1
036 第十七回　　祝芳年瓊筵集詞客　評花譜國色冠群香2
037 第十八回　　狎客樓中教蔑片　妖娼門口唱楊枝1
038 第十八回　　狎客樓中教蔑片　妖娼門口唱楊枝2
039 第十九回　　述淫邪奸謀藏木桶　逞智慧妙語騙金箍1
040 第十九回　　述淫邪奸謀藏木桶　逞智慧妙語騙金箍2
041 第二十回　　奪錦標龍舟競渡　悶酒令鴛侶傳觴1
042 第二十回　　奪錦標龍舟競渡　悶酒令鴛侶傳觴2
043 第二十一回　　造謠言徒遭冷眼　問衷曲暗泣同心1
044 第二十一回　　造謠言徒遭冷眼　問衷曲暗泣同心2
045 第二十二回　　遇災星素琴雙痛哭　逛運河梅杜再聯情1
046 第二十二回　　遇災星素琴雙痛哭　逛運河梅杜再聯情2
047 第二十三回　　裹草簾阿呆遭毒手　坐糞車劣幕述淫心1
048 第二十三回　　裹草簾阿呆遭毒手　坐糞車劣幕述淫心2
049 第二十四回　　說新聞傳來新戲　定情品跳出情關1
050 第二十四回　　說新聞傳來新戲　定情品跳出情關2
051 第二十五回　　水榭風廓花能解語　清歌妙舞玉自生香1
052 第二十五回　　水榭風廓花能解語　清歌妙舞玉自生香2
053 第二十六回　　進讒言聘才酬宿怨　重國色華府購名花1
054 第二十六回　　進讒言聘才酬宿怨　重國色華府購名花2
055 第二十七回　　奚正紳大鬧秋水堂　杜琴言避禍華公府1
056 第二十七回　　奚正紳大鬧秋水堂　杜琴言避禍華公府2
057 第二十八回　　生離別隱語寄牽牛　昧天良貪心學扁馬1
058 第二十八回　　生離別隱語寄牽牛　昧天良貪心學扁馬2
059 第二十九回　　缺月重圓真情獨笑　群珠緊守離恨誰憐1
060 第二十九回　　缺月重圓真情獨笑　群珠緊守離恨誰憐2
061 第三十回　　賞燈月開宴品群花　試容裝上臺呈豔曲1
062 第三十回　　賞燈月開宴品群花　試容裝上臺呈豔曲2
