001 第一回 　　北京城賢臣監國　瑞龍鎮周郎遇主 
002 第二回 　　杏花樓奸黨遭誅　海邊關良臣保駕 
003 第三回 　　退妖魔周郎配偶　換假銀張婦完貞 
004 第四回 　　區家莊智退莊客　金平城怒斬奸官 
005 第五回 　　雷老虎擂臺喪命　李巴山比武欺人 
006 第六回 　　梅花樁僧俗比武　西禪寺師徒相逢 
007 第七回 　　林勝捉奸遭反捏　黃坤抱屈遇高僧 
008 第八回 　　下潮州師徒報仇　游金山白蛇討封 
009 第九回 　　英武院探賭遇名妹　諸仙鎮贖衫收勇士 
010 第十回 　　楊遇春賣武逢主　僧燕月行兇遭戮 
011 第十一回 　　遇詩翁蔡芳奪舟　訪主子伯達巡江 
012 第十二回 　　奪鱸魚踢傷倫公子　投村莊收羅眾豪傑 
013 第十三回 　　妖道人圍困海波莊　玉面虎陣斬高發仕 
014 第十四回 　　少林寺門徒私下山　錦綸堂行家公入稟 
015 第十五回 　　牛化蛟貪財喪命　呂英布仗義報仇 
016 第十六回 　　雷大鵬別師下山　胡惠乾送兒入寺 
017 第十七回 　　下武當道德報仇　游羊城五枚解怨 
018 第十八回 　　劉閣老屢代光昌　趙慶芳武藝無雙 
019 第十九回 　　趙教頭知機識主　朱知府偏斷亡身 
020 第二十回 　　蘇州城白花蛇劫獄　牛頭山黃協鎮喪師 
021 第二十一回 　　接聖駕區鎮威擢職　結親誼周日清吟詩 
022 第二十二回 　　黃土豪欺心誣劫　張秀才畏刑招供 
023 第二十三回 　　伯制軍兩番訪主　唐教頭二次解圍 
024 第二十四回 　　待月樓奮鵬保駕　尋芳市老虎喪身 
025 第二十五回 　　毓秀村百鳥迎皇　小桃源萬花朝聖 
026 第二十六回 　　游花園題贈佳人詞　鬧新房戲謔風流話 
027 第二十七回 　　急腳先鋒逢恩得赦　投懷弱燕救主成親 
028 第二十八回 　　癡情公子戀春光　貌美歌姬嗟薄命 
029 第二十九回 　　蘊玉閣狂徒恃勢　天香樓義士除頑 
030 第三十回 　　東留村老鼠精作怪　飛鵝山強賊寇被誅 
031 第三十一回 　　李全忠尋仇擺擂臺　程奉孝解忿破愚關 
032 第三十二回 　　白面書生逢鐵漢　紅顏少女遇金剛 
033 第三十二回 　　英雄遇赦沐皇恩　義土慈心叨御賜 
034 第三十四回 　　命金剛碧玉共成親　逢聖主許英談戰法 
035 第三十五回 　　三英雄廟前逞力　兩孝子遇水成災 
036 第三十六回 　　碧蓮孝感動家姑　紫薇遺寶賜佳兒 
037 第三十七回 　　報恩寺和尚貪財　廣法庵女尼死節 
038 第三十八回 　　王寶珠貪淫損命　錄金言警世除魂 
039 第三十九回 　　葉公子通賊害民　段翰林因姪會主 
040 第四十回 　　陳河道拯民脫難　鄒按察救駕誅奸 
041 第四十一回 　　揚州城撫憲銷案　金華府天子救民 
042 第四十二回 　　仁聖主怒斬奸官　文武舉同沾重思 
043 第四十三回 　　安福戰敗飛龍閣　趙虎收服金鼇熊 
044 第四十四回 　　老大人開科取士　白安福建醮復仇 
045 第四十五回 　　白安福建設恩壇醮　胡惠乾恃惡又尋仇 
046 第四十六回 　　說閒言機匠肇禍　誇武藝惡霸興兵 
047 第四十七回 　　遞公稟總督准詞　緝要犯捕快尋友 
048 第四十八回 　　印月潭僧人不俗　鳳儀亭妓女多情 
049 第四十九回 　　奪佳人日清用武　打豪奴詠紅知恩 
050 第五十回 　　入縣衙怒翻公案　到撫轅請進後堂 
051 第五十一回 　　杭州城正法污吏　嘉興府巧遇英雄 
052 第五十二回 　　害東翁王懷設計　見豪客鮑龍顯能 
053 第五十三回 　　重親情打傷人命　為義上大鬧公堂 
054 第五十四回 　　周日清力救郭禮文　李得勝鞭傷鮑勇士 
055 第五十五回 　　醉大漢洪福救主　舊良朋華琪留賓 
056 第五十六回 　　周日清小心尋聖主　楊長祺請罪謁天顏 
057 第五十七回 　　方快頭叩問吉凶　高相土善談休答 
058 第五十八回 　　識真主高進忠顯名　訪細情何人厚得信 
059 第五十九回 　　施毒計氣煞惠乾　擋凶鋒打走方德 
060 第六十回 　　傷母子胡惠乾狠心　調官兵曾必忠設計 
061 第六十一回 　　急調兵擬困西禪寺　請會議協拿胡惠乾 
062 第六十二回 　　西禪寺胡惠乾驚變　大雄殿高進忠爭鋒 
063 第六十三回 　　破花刀惠乾喪命　擲首級三德亡身 
064 第六十四回 　　絕後患議拿家屬　報父仇擬請禪師 
065 第六十五回 　　奉旨訪師方魁跋涉　應詔除害白眉登程 
066 第六十六回 　　聞家信方快頭垂淚　探消息馬壯土逞能 
067 第六十七回 　　舊地重遊山僧勢利　輕舟忽至姊妹翩躚 
068 第六十八回 　　俗和尚出言不遜　猛英雄舉手無情 
069 第六十九回 　　還求恕罪前倔後恭　閱讀來書驚心動魄 
070 第七十回 　　志切報仇心存袒護　出言責備仗義除凶 
071 第七十一回 　　運內功打死童千斤　使飛腿踢傷謝亞福 
072 第七十二回 　　道人寄言巡撫奏章　閣老知人英雄善任 
073 第七十三回 　　約期比試錦綸下書　結伴同行白眉除害 
074 第七十四回 　　掃除惡霸不認同門　力敵仇讎擊殺至善 
075 第七十五回 　　眾禪師大破少林寺　高進忠回轉廣東城 
076 第七十六回 　　頑梗既除八方向化　帝德何極萬壽無疆 
