001 第一回　　望成名學究訓頑兒　講制藝鄉紳勖後進
002 第二回　　錢典史同行說官趣　趙孝廉下第受奴欺
003 第三回　　苦鑽差黑夜謁黃堂　悲鐫級藍呢糊綠轎
004 第四回　　白簡留情補祝壽　黃金有價快升官
005 第五回　　藩司賣缺兄弟失和　縣令貪贓主僕同惡
006 第六回　　急張羅州官接巡撫　少訓練副將降都司
007 第七回　　宴洋官中丞嫻禮節　辦機器司馬比匪人
008 第八回　　談官派信口開河　虧公項走頭無路
009 第九回　　觀察公討銀翻臉　布政使署缺傷心
010 第十回　　怕老婆別駕擔驚　送胞妹和尚多事
011 第十一回　　窮佐雜夤緣說差使　紅州縣傾軋鬥心思
012 第十二回　　設陷阱借刀殺人　割靴腰隔船吃醋
013 第十三回　　聽申飭隨員忍氣　受委屈妓女輕生
014 第十四回　　剿土匪魚龍曼衍　開保案雞犬飛升
015 第十五回　　老吏斷獄著著爭先　捕快查贓頭頭是道
016 第十六回　　瞞賊贓知縣吃情　駁保案同寅報怨
017 第十七回　　三萬金借公敲詐　五十兩買折彈參
018 第十八回　　頌德政大令挖腰包　查參案隨員賣關節
019 第十九回　　重正途宦海尚科名　講理學官場崇節儉
020 第二十回　　巧逢迎爭制羊皮褂　思振作勸除鴉片煙
021 第二十一回　　反本透贏當場出彩　弄巧成拙驀地撤差
022 第二十二回　　叩轅門蕩婦覓情郎　奉板輿慈親勖孝子
023 第二十三回　　訊奸情臬司惹笑柄　造假信觀察賺優差
024 第二十四回　　擺花酒大鬧喜春堂　撞木鐘初訪文殊院
025 第二十五回　　買古董借徑謁權門　獻巨金痴心放實缺
026 第二十六回　　模棱人慣說模棱話　勢利鬼偏逢勢利交
027 第二十七回　　假公濟私司員設計　因禍得福寒士捐官
028 第二十八回　　待罪天牢有心下石　趨公郎署無意分金
029 第二十九回　　傻道台訪艷秦淮河　闊統領宴賓番菜館
030 第三十回　　認娘舅當場露馬腳　飾嬌女背地結鴛盟
031 第三十一回　　改營規觀察上條陳　說洋活哨官遭毆打
032 第三十二回　　寫保折筵前親起草　謀厘局枕畔代求差
033 第三十三回　　查帳目奉札謁銀行　借名頭斂錢開書局
034 第三十四回　　辦義賑善人是富　盜虛聲廉吏難為
035 第三十五回　　捐巨資絝袴得高官　吝小費貂璫發妙謔
036 第三十六回　　騙中騙又逢鬼魅　強中強巧遇機緣
037 第三十七回　　繳憲帖老父托人情　補札稿寵姬打官話
038 第三十八回　　丫姑爺乘龍充快婿　知客僧拉馬認乾娘
039 第三十九回　　省錢財懼內誤庸醫　瞞消息藏嬌感俠友
040 第四十回　　息坤威解紛憑片語　紹心法清訟詡多才
041 第四十一回　　乞保留極意媚鄉紳　算交代有心改帳簿
042 第四十二回　　歡喜便宜暗中上當　附庸風雅忙裡偷閑
043 第四十三回　　八座荒唐起居無節　一班齷齪堂構相承
044 第四十四回　　跌茶碗初次上台盤　拉辮子兩番爭節禮
045 第四十五回　　擅受民詞聲名掃地　渥承憲眷氣焰熏天
046 第四十六回　　卻洋貨尚書挽利權　換銀票公子工心計
047 第四十七回　　喜掉文頻頻說白字　為惜費急急煮烏煙
048 第四十八回　　還私債巧邀上憲歡　騙公文忍絕良朋義
049 第四十九回　　焚遣財傷心說命婦　造揭帖密計遣群姬
050 第五十回　　聽主使豪僕學摸金　抗官威洋奴唆吃教
051 第五十一回　　復雨翻雲自相矛盾　依草附木莫測機關
052 第五十二回　　走捷徑假子統營頭　靠泰山劣紳賣礦產
053 第五十三回　　洋務能員但求形式　外交老手別具肺腸
054 第五十四回　　慎邦交紆尊禮拜堂　重民權集議保商局
055 第五十五回　　呈履歷參戎甘屈節　遞銜條州判苦求情
056 第五十六回　　制造廠假札賺優差　仕學院冒名作槍手
057 第五十七回　　慣逢迎片言矜秘奧　辦交涉兩面露殷勤
058 第五十八回　　大中丞受制顧問官　洋翰林見拒老前輩
059 第五十九回　　附來裙帶能諂能驕　掌到銀錢作威作福
060 第六十回　　苦辣甜酸遍嘗滋味　嬉笑怒罵皆為文章
