001 飛劍記 21028 第一回 　　諸仙朝玉皇大帝　慧童投呂家出世
002 飛劍記 21029 第二回 　　呂純陽遇鍾離師　鍾離子五試洞賓
003 飛劍記 21030 第三回 　　秘授純陽子丹訣　呂純陽發大誓願
004 飛劍記 21031 第四回 　　洞賓得遁天劍法　飛仙劍斬蛟殺虎
005 飛劍記 21032 第五回 　　呂純陽宿白牡丹　純陽飛劍斬黃龍
006 飛劍記 21033 第六回 　　純陽子賣梳貨墨　純陽踏石並化錢
007 飛劍記 21034 第七回 　　純陽游大庾謁齋　純陽召將收狐精
008 飛劍記 21035 第八回 　　純陽子醉死復生　純陽子羅浮畫山
009 飛劍記 21036 第九回 　　獻美人畫並泛管　活已死魚並吹笛
010 飛劍記 21037 第十回 　　呂純陽杭州賣藥　呂純陽三醉岳陽
011 飛劍記 21038 第十一回 　　純陽游廣陵妓館　純陽游寺訪書齋
012 飛劍記 21039 第十二回 　　純陽子擲劍化女　純陽子見火龍君
013 飛劍記 21040 第十三回 　　呂純陽度何仙姑　呂純陽升入仙班
