001 近世社會齷齪史 16966 第一回 　　妙轉玄機故人念舊　喜出望外嗣子奔喪
002 近世社會齷齪史 16967 第二回 　　五十金暫依招股處　二百元押去府右堂
003 近世社會齷齪史 16968 第三回 　　移花接木三條計　動魄驚魂一紙書
004 近世社會齷齪史 16969 第四回 　　透消息托故避干連　乘危急巧辭圖攘奪
005 近世社會齷齪史 16970 第五回 　　奇舉動盛宴賀期喪　敘瑣屑綺筵呈醜態
006 近世社會齷齪史 16971 第六回 　　一夕碰和真慷慨　兩番拒貸假貧窮
007 近世社會齷齪史 16972 第七回 　　巧遮飾窮人裝闊綽　硬乾沒惡漢遇強梁
008 近世社會齷齪史 16973 第八回 　　假復假金礦難查　□中□珠花不返
009 近世社會齷齪史 16974 第九回 　　揭行藏有心行詐術　喬笑語當面撒奇謊
010 近世社會齷齪史 16975 第十回 　　陡變幻人心叵測　善支離世事難為
011 近世社會齷齪史 16976 第十一回 　　伊通守改省到山東　陳雨堂深宵留滬北
012 近世社會齷齪史 16977 第十二回 　　盤書局妙施巧術　賣字畫暫免釘門
013 近世社會齷齪史 16978 第十三回 　　十二金賣去一員督撫　兩封書送來無限生機
014 近世社會齷齪史 16979 第十四回 　　未死人忽地開喪　妙彌縫從豐代犒
015 近世社會齷齪史 16980 第十五回 　　破除資格特賞優差　撇棄委員去充買辦
016 近世社會齷齪史 16981 第十六回 　　薦生意伍太守分肥　遭騙局張佐君叫苦
017 近世社會齷齪史 16982 第十七回 　　變面貌魯薇園割須　逞機心柏養芝鑄鏡
018 近世社會齷齪史 16983 第十八回 　　喜蛛兒曇花現色相　魯薇園投藥治思勞
019 近世社會齷齪史 16984 第十九回 　　歷下亭龍驪珠品泉　紅雨軒魯夫人論藥
020 近世社會齷齪史 16985 第二十回 　　老官醫粗心投補品　嬌小姐噩夢警芳魂
