001 第一回 　　謝良媒笨伯得喜耦　成孽障巧妻伴拙夫 
002 第二回 　　末路悲風淒涼透骨　荒村苦雨歲月煎心 
003 第三回 　　椿樹凋殘董花花折　桂華皎潔蘭葉芬芳 
004 第四回 　　手足耽耽鼠牙雀角　耳目逐逐燕語鶯啼 
005 第五回 　　浪子有心出谷鶯飛去去　文人無得聯慶蝶夢蘧蘧 
006 第六回 　　合雙成巫女襄王圓夢　迎百兩淑姬君子同心 
007 第七回 　　檐前鸚鵡小姑有口難防　室內鴛鴦賢嫂多情慫合 
008 第八回 　　苦口婆心種成功德　甜言蜜語喜見祥和 
009 第九回 　　金玉緣口開雙和合　藥石意語惜一嬌娃 
010 第十回 　　綠意贈妝奩可敬可喜　紅情驚綺夢疑神疑鬼 
011 第十一回 　　起罡風蠢夫憶家室　來疑雨村婦擇芳鄰 
012 第十二回 　　三更圓夢規勸良人　五夜寒衾思懷吉士 
013 第十三回 　　一紙寄鸞箋劈開情網　三遷營兔窟割斷紅絲 
014 第十四回 　　度佳期花燈雙雙偕老　重瘟疫鴛鴦故故分飛 
015 第十五回 　　看盛會萬人聚小鎮　缺妝奩一女泣空房 
016 第十六回 　　貧兒暴富納粟走邪途　貪夫殉財具呈持正義 
017 第十七回 　　投聲氣論交仗有多金　乏興味偕游惜無美色 
018 第十八回 　　斗室中密語談佳麗　茶寮地踞坐品清泉 
019 第十九回 　　鬼蜮為心快飲醇酒　嬌鶯吐語初現桃花 
020 第二十回 　　求計畫浪擲金錢　誘美色先遣夫役 
021 第二十一回 　　謀士巧施狡計暗室有虧　賢婦錯認良心黃金虛擲 
022 第二十二回 　　亂貞心一包春藥　畫計策兩字秋瘟 
023 第二十三回 　　急色兒覆雨翻雲　痴婆子大驚小怪 
024 第二十四回 　　賣風流黃金買美　受賄賂白鏹結交 
025 第二十五回 　　明月清風魂銷一刻　尤雲滯雨膽怯終宵 
026 第二十六回 　　返家庭荊妻成宿孽　應考試村夫結冤仇 
027 第二十七回 　　求魚水一夕定計謀　說風情片言明心跡 
028 第二十八回 　　妒恨起毒心禍根隱伏　殷勤調湯藥惡意難銷 
029 第二十九回 　　毒親夫血棉襖作証　哭兄長白孝衣見官 
030 第三十回 　　驗尸身美小娘受冤　報家信好兒子求救 
031 第三十一回 　　刁師爺移花接木害書生　老虔婆口蜜腹刀騙難女 
032 第三十二回 　　布牢籠即席填供狀　工羅織行文革衣冠 
033 第三十三回 　　熬刑具酷吏存惡念　探監獄義僕報凶音 
034 第三十四回 　　骨肉聚囚牢良言付托　炮烙定冤獄屈打成招 
035 第三十五回 　　知府偏私受賄賂銀二萬　師爺公正拒昧心錢三千 
036 第三十六回 　　初翻供又受非刑　訴冤狀再提審問 
037 第三十七回 　　按察得贓瞞天理　巡撫會審昧良心 
038 第三十八回 　　再翻供公堂成黑暗　復告狀大地見光明 
039 第三十九回 　　世界昏暗夫婦入囹圄　恩義分明母子得佳麗 
040 第四十回 　　入京師中堂仗義　下浙江欽使糊塗 
041 第四十一回 　　告部狀滾三寸釘板　私察訪派一個清官 
042 第四十二回 　　聽秘密昭雪沉冤　訴反平重見天日 
