001 九尾龜 14555 第一回 　　談楔子演說九尾龜　訪名花調查青陽地
002 九尾龜 14556 第二回 　　真抑塞粉墨登場　假從良姑蘇遇舊
003 九尾龜 14557 第三回 　　餘香閣初點滿堂紅　章秋谷重過談瀛里
004 九尾龜 14558 第四回 　　金月蘭無端受氣　方幼惲有意尋芳
005 九尾龜 14559 第五回 　　陸蘭芳遊園逢土地　方幼惲擺酒鬧金剛
006 九尾龜 14560 第六回 　　留夜廂假裝闊客　搶匯票硬捉瘟生
007 九尾龜 14561 第七回 　　車走雷聲香塵一瞬　酒酣奇氣名士高吟
008 九尾龜 14562 第八回 　　章秋谷意氣結新知　方幼惲平康逢舊識
009 九尾龜 14563 第九回 　　章秋谷苦口勸迷途　陸蘭芳驚心憐薄命
010 九尾龜 14564 第十回 　　兆貴里劉厚卿行令　吉升棧張書玉發標
011 九尾龜 14565 第十一回 　　對酒當歌忽逢舊友　陽春白雪快和新詩
012 九尾龜 14566 第十二回 　　翻花樣偷天換日　弔膀子接木移花
013 九尾龜 14567 第十三回 　　汪宏超花錢代審　金漢良拼命吹牛
014 九尾龜 14568 第十四回 　　一監生錄遺受氣　兩承差討賞翻腔
015 九尾龜 14569 第十五回 　　曲辮子坐轎出風頭　紅倌人有心敲竹槓
016 九尾龜 14570 第十六回 　　論妍媸暢談電氣　談嫖界痛罵官場
017 九尾龜 14571 第十七回 　　吃花酒初遇假同知　諷官場怒嘲真令尹
018 九尾龜 14572 第十八回 　　設機關流氓傳電報　賣風情名妓訪蕭郎
019 九尾龜 14573 第十九回 　　闖房間莽客怒生波　圓好夢良宵花解語
020 九尾龜 14574 第二十回 　　王雲生安排紮火囤　章秋谷踏破仙人跳
021 九尾龜 14575 第二十一回 　　鬧張園醋海起風潮　苦勸和金剛尋舊好
022 九尾龜 14576 第二十二回 　　香車寶馬陌上相逢　紙醉金迷花前旖旎
023 九尾龜 14577 第二十三回 　　瘟富翁誤墮迷途　名校書安心淴浴
024 九尾龜 14578 第二十四回 　　邱公子狠心懲愛妾　林黛玉拼命鬧華堂
025 九尾龜 14579 第二十五回 　　恨無良閉戶鎖金剛　消妒意開籠放鸚鵡
026 九尾龜 14580 第二十六回 　　說瘟生平心論嫁娶　評嫖客談笑罵官商
027 九尾龜 14581 第二十七回 　　林黛玉春宵引鳳　王雲生黑夜捉奸
028 九尾龜 14582 第二十八回 　　吹大話滿口牛屄　露真情一箱石塊
029 九尾龜 14583 第二十九回 　　寫伏辯光棍無顏　聽良言名花有主
030 九尾龜 14584 第三十回 　　章秋谷亂叉麻雀　陸畹香暗印靈犀
031 九尾龜 14585 第三十一回 　　西安坊名士講嫖經　高升棧優伶誇大口
032 九尾龜 14586 第三十二回 　　弔膀子小丑幫忙　掉槍花秋娘中計
033 九尾龜 14587 第三十三回 　　姘戲子苦勸陸畹香　扳差頭駁倒花筱舫
034 九尾龜 14588 第三十四回 　　殺風景莽客醉飛觴　意纏綿良宵花解語
035 九尾龜 14589 第三十五回 　　暗提調碰和叫局　現開銷當面坍台
036 九尾龜 14590 第三十六回 　　說大話滿口吹牛　擺雙台安心落局
037 九尾龜 14591 第三十七回 　　真急色春宵圓好夢　假堂差黑夜渡陳倉
038 九尾龜 14592 第三十八回 　　還帶擋做成圈套　訂白頭再捉瘟生
039 九尾龜 14593 第三十九回 　　陸蘭芬雨後試新妝　方子衡花前申舊約
040 九尾龜 14594 第四十回 　　藍橋咫尺舊雨不來　芳草天涯王孫歸去
041 九尾龜 14595 第四十一回 　　罵瘟生西樓驚好夢　唱驪歌南浦黯銷魂
042 九尾龜 14596 第四十二回 　　吃大菜粲花生妙謔　錯房間無意遇名姝
043 九尾龜 14597 第四十三回 　　章秋谷痛罵無恥奴　王佩蘭暗吃山西醋
044 九尾龜 14598 第四十四回 　　有情人都成新眷屬　懊惱記重仿玉台文
045 九尾龜 14599 第四十五回 　　說官話小子無知　困春悉蕭娘多病
046 九尾龜 14600 第四十六回 　　爭閒氣怒擲纏頭　惡跳槽氣傷名妓
047 九尾龜 14601 第四十七回 　　負心郎黃衫求作合　薄命女紫玉竟成姻
048 九尾龜 14602 第四十八回 　　章秋谷驚散野鴛鴦　霍春榮排演花蝴蝶
049 九尾龜 14603 第四十九回 　　方小松演說風流案　貝夫人看戲麗華園
050 九尾龜 14604 第五十回 　　巧姻緣良夜渡銀河　殺風景三更飛黑索
051 九尾龜 14605 第五十一回 　　美優伶駁翻堂上官　懦太史不問河東吼
052 九尾龜 14606 第五十二回 　　霍春榮利口受官刑　宋子英喪心施騙局
053 九尾龜 14607 第五十三回 　　弱書生幾成薄倖郎　老學究怒責親生女
054 九尾龜 14608 第五十四回 　　拍馬屁流氓討好　抱春愁俠客傳書
055 九尾龜 14609 第五十五回 　　一封書琴心通綠綺　百尺樓黑夜盜紅綃
056 九尾龜 14610 第五十六回 　　真大膽登門報信　假小心曲意邀歡
057 九尾龜 14611 第五十七回 　　貢春樹一棹載名花　章秋谷良宵圓好夢
058 九尾龜 14612 第五十八回 　　馳寶馬爭看綠衣郎　博梟廬埋冤曲辮子
059 九尾龜 14613 第五十九回 　　蕭靜園輸錢重約賭　王雲生設計報前仇
060 九尾龜 14614 第六十回 　　吃大菜貴紳中計　游虎丘畫舫嬉春
061 九尾龜 14615 第六十一回 　　倒脫靴兩番騙局　破機關一怒揮拳
